,MPG,FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FTM,FTA,FGM,FGA
T. Craig,16.05,0.48,0.773,0.8,5.5,3.9,1.0,0.6,0.5,-0.5,0.3,0.4,2.2,4.5
E. Moore,14.4,0.455,0.857,0.4,4.9,1.7,1.5,0.6,0.2,-0.9,0.4,0.5,2.0,4.5
J. Nwora,9.116666666666667,0.459,0.76,0.9,5.7,2.0,0.2,0.5,0.2,-0.8,0.6,0.8,2.1,4.5
M. Harkless,20.883333333333333,0.418,0.767,0.6,5.2,2.4,1.2,0.8,0.5,-0.6,0.9,1.2,1.9,4.5
D. Bembry,19.116666666666667,0.513,0.682,0.3,5.7,2.9,2.1,1.0,0.4,-1.4,0.9,1.3,2.3,4.5
N. Claxton,18.65,0.621,0.484,0.0,6.6,5.2,0.9,0.7,1.3,-0.6,1.0,2.0,2.8,4.5
R. McGruder,12.116666666666667,0.529,0.75,0.7,5.7,1.4,1.0,0.5,0.1,-0.4,0.4,0.5,2.3,4.4
S. Lee,16.216666666666665,0.471,0.685,0.2,5.6,2.0,3.6,0.7,0.3,-1.1,1.3,1.9,2.1,4.4
M. Mulder,12.75,0.449,0.636,1.4,5.6,1.0,0.4,0.2,0.2,-0.3,0.2,0.4,2.0,4.4
D. Jordan,21.816666666666666,0.763,0.5,0.0,7.5,7.5,1.6,0.3,1.1,-1.5,0.8,1.6,3.3,4.4
D. Howard,17.25,0.5870000000000001,0.5760000000000001,0.1,7.0,8.4,0.9,0.4,0.9,-1.6,1.8,3.0,2.6,4.4
G. Bitadze,12.766666666666667,0.428,0.738,0.5,5.3,3.4,0.8,0.2,1.4,-0.4,1.0,1.4,1.9,4.4
D. Louzada,19.0,0.231,,0.7,2.7,1.0,1.0,0.7,0.0,-1.0,0.0,0.0,1.0,4.3
J. Okogie,20.266666666666666,0.402,0.769,0.5,5.4,2.6,1.1,0.9,0.5,-0.7,1.4,1.8,1.7,4.3
A. Len,15.3,0.615,0.629,0.1,6.6,4.1,0.8,0.3,1.0,-0.9,1.1,1.8,2.7,4.3
M. Dellavedova,17.216666666666665,0.25,1.0,0.3,2.8,1.8,4.5,0.3,0.1,-0.5,0.3,0.3,1.1,4.3
W. Matthews,19.516666666666666,0.353,0.8540000000000001,1.1,4.8,1.6,0.9,0.7,0.3,-0.4,0.6,0.7,1.5,4.3
P. Patterson,15.283333333333333,0.436,0.765,1.1,5.2,2.0,0.8,0.4,0.2,-0.3,0.3,0.4,1.9,4.3
A. Aminu,18.766666666666666,0.384,0.818,0.3,4.4,4.8,1.3,0.8,0.4,-1.2,0.8,1.0,1.7,4.3
G. Robinson III,16.166666666666668,0.424,0.913,0.7,5.3,2.0,0.9,0.2,0.1,-0.5,0.9,1.0,1.8,4.3
G. Dieng,14.55,0.521,0.866,0.8,6.8,3.7,1.3,0.7,0.4,-0.8,1.5,1.8,2.2,4.3
D. Exum,19.316666666666666,0.385,0.5,0.3,3.8,2.8,2.2,0.7,0.3,-1.2,0.2,0.3,1.7,4.3
S. Hill,21.316666666666666,0.359,0.7609999999999999,1.0,4.5,3.0,1.1,0.7,0.2,-0.6,0.5,0.6,1.5,4.2
J. Parker,12.766666666666667,0.545,0.769,0.2,5.5,3.2,0.8,0.1,0.4,-0.8,0.8,1.0,2.3,4.2
D. Gafford,14.766666666666667,0.684,0.667,0.0,7.0,4.3,0.5,0.5,1.4,-0.8,1.3,2.0,2.9,4.2
F. Gillespie,19.7,0.524,0.6970000000000001,0.0,5.6,4.9,0.5,0.7,1.0,-0.6,1.2,1.7,2.2,4.2
D. Windler,16.6,0.438,0.778,0.8,5.2,3.5,1.1,0.6,0.4,-1.0,0.7,0.9,1.8,4.2
T. Brown Jr.,15.35,0.431,0.7140000000000001,0.6,4.7,3.1,0.9,0.3,0.2,-0.6,0.4,0.6,1.8,4.2
J. Layman,13.883333333333333,0.495,0.703,0.5,5.1,1.5,0.6,0.6,0.4,-0.6,0.6,0.8,2.0,4.1
C. Hutchison,13.833333333333336,0.379,0.84,0.3,4.3,3.1,0.7,0.5,0.2,-0.8,0.8,1.0,1.6,4.1
M. Scott,16.683333333333334,0.36,0.667,1.0,4.2,2.4,0.8,0.5,0.3,-0.4,0.2,0.2,1.5,4.1
D. Dedmon,13.116666666666667,0.708,0.741,0.1,7.1,5.4,0.8,0.6,0.4,-0.8,1.3,1.7,2.9,4.1
R. Franks,14.416666666666664,0.464,0.923,0.7,6.1,2.0,0.7,0.4,0.4,-0.3,1.7,1.9,1.9,4.0
C. Chiozza,10.583333333333334,0.35200000000000004,0.765,0.6,4.0,1.1,3.0,0.3,0.3,-0.7,0.6,0.8,1.4,4.0
T. Frazier,12.4,0.15,0.333,0.0,1.6,1.6,3.2,0.4,0.2,-0.8,0.4,1.2,0.6,4.0
J. Sampson,10.85,0.496,0.655,0.1,4.6,2.7,0.1,0.1,0.5,-0.5,0.7,1.0,1.9,3.9
A. Nesmith,14.416666666666664,0.438,0.7859999999999999,0.9,4.7,2.8,0.5,0.3,0.2,-0.5,0.5,0.6,1.7,3.9
K. Martin,9.25,0.449,0.9,0.7,4.5,2.2,0.5,0.3,0.3,-0.5,0.3,0.3,1.8,3.9
T. Lyles,15.516666666666667,0.478,0.652,0.6,5.0,3.7,0.6,0.3,0.0,-0.3,0.7,1.0,1.9,3.9
S. Ojeleye,16.866666666666667,0.403,0.75,1.0,4.6,2.6,0.7,0.3,0.0,-0.4,0.4,0.6,1.6,3.9
J. Toscano-Anderson,20.9,0.579,0.71,0.7,5.7,4.4,2.8,0.8,0.5,-1.2,0.4,0.6,2.3,3.9
A. Iguodala,21.216666666666665,0.383,0.6579999999999999,1.0,4.4,3.5,2.3,0.9,0.6,-1.1,0.4,0.6,1.5,3.9
D. Jeffries,15.833333333333336,0.417,0.875,0.6,4.1,2.3,0.7,0.5,0.3,-0.5,0.2,0.3,1.6,3.9
G. Williams,18.05,0.4370000000000001,0.588,0.8,4.7,2.8,1.0,0.5,0.4,-0.9,0.5,0.8,1.7,3.9
M. Jones,10.466666666666667,0.423,0.625,0.8,5.3,1.7,1.3,0.2,0.0,-0.9,1.3,2.0,1.6,3.8
J. Okafor,12.733333333333333,0.618,0.708,0.1,5.4,2.4,0.5,0.2,0.2,-0.8,0.6,0.9,2.3,3.8
S. Johnson,16.466666666666665,0.384,0.8,0.7,4.4,2.5,1.5,0.9,0.3,-0.9,0.7,0.9,1.5,3.8
D. Eubanks,14.016666666666667,0.5660000000000001,0.726,0.0,5.8,4.5,0.8,0.3,0.9,-0.8,1.4,2.0,2.1,3.8
N. Mannion,12.0,0.342,0.821,0.7,4.1,1.5,2.3,0.5,0.0,-1.0,0.8,0.9,1.3,3.8
A. Johnson,10.316666666666666,0.588,1.0,0.1,5.2,5.0,0.8,0.3,0.3,-0.5,0.7,0.7,2.2,3.8
P. Achiuwa,12.066666666666665,0.544,0.509,0.0,5.0,3.4,0.5,0.3,0.5,-0.7,0.9,1.8,2.0,3.7
L. Galloway,10.9,0.449,0.957,0.9,4.8,1.1,0.7,0.2,0.0,-0.3,0.6,0.6,1.7,3.7
M. Thybulle,19.95,0.42,0.444,0.7,3.9,1.9,1.0,1.6,1.1,-0.5,0.1,0.3,1.6,3.7
J. Bell,13.666666666666664,0.318,0.5,0.0,2.5,4.0,1.2,0.5,0.8,-0.7,0.2,0.3,1.2,3.7
I. Hartenstein,12.233333333333333,0.55,0.648,0.0,5.1,3.9,1.2,0.4,0.8,-1.0,1.0,1.5,2.0,3.7
G. Mathews,16.183333333333334,0.409,0.884,1.2,5.5,1.4,0.4,0.5,0.1,-0.2,1.3,1.5,1.5,3.7
J. Martin,8.316666666666666,0.273,0.2,0.3,2.4,0.8,0.4,0.6,0.2,-0.7,0.1,0.6,1.0,3.7
B. Biyombo,20.433333333333334,0.5870000000000001,0.448,0.0,5.0,5.3,1.2,0.3,1.1,-1.1,0.7,1.6,2.2,3.7
B. Marjanovic,8.2,0.508,0.816,0.0,4.7,3.9,0.3,0.1,0.2,-0.4,0.9,1.2,1.9,3.7
J. Carter,11.9,0.422,0.5710000000000001,0.9,4.1,1.5,1.2,0.5,0.2,-0.3,0.1,0.1,1.6,3.7
M. Gasol,19.1,0.454,0.72,1.0,5.0,4.1,2.1,0.5,1.1,-1.0,0.7,1.0,1.7,3.7
J. Vanderbilt,17.816666666666666,0.606,0.5589999999999999,0.0,5.4,5.8,1.2,1.0,0.7,-0.8,0.9,1.6,2.2,3.7
C. Edwards,8.833333333333334,0.423,0.846,0.6,4.0,0.8,0.5,0.2,0.0,-0.2,0.4,0.4,1.5,3.6
Y. Watanabe,14.433333333333335,0.439,0.828,0.7,4.4,3.2,0.8,0.5,0.4,-0.4,0.5,0.6,1.6,3.6
T. Snell,21.1,0.515,1.0,1.3,5.3,2.4,1.3,0.3,0.2,-0.4,0.2,0.2,1.9,3.6
C. Reynolds,8.0,0.333,,0.6,3.0,1.0,0.4,0.0,0.0,-0.0,0.0,0.0,1.2,3.6
D. Favors,15.233333333333333,0.638,0.738,0.0,5.4,5.5,0.6,0.5,1.0,-0.5,0.9,1.2,2.3,3.6
D. Cannady,9.25,0.393,0.857,0.8,4.3,0.6,0.1,0.6,0.1,-0.3,0.8,0.9,1.4,3.5
N. Noel,24.1,0.614,0.7140000000000001,0.0,5.1,6.4,0.7,1.1,2.2,-1.0,0.8,1.1,2.1,3.5
N. Little,13.4,0.467,0.8,0.6,4.6,2.7,0.5,0.1,0.3,-0.4,0.8,0.9,1.6,3.5
T. Gibson,20.8,0.627,0.727,0.1,5.4,5.6,0.8,0.7,1.1,-0.5,0.9,1.2,2.2,3.5
O. Toppin,11.05,0.498,0.731,0.4,4.1,2.2,0.5,0.3,0.2,-0.4,0.3,0.4,1.7,3.4
L. Stevens,12.516666666666667,0.456,0.725,0.1,4.1,2.4,0.6,0.4,0.3,-0.6,0.9,1.3,1.6,3.4
G. Clark,16.766666666666666,0.303,0.8,0.8,3.1,2.9,0.8,0.3,0.2,-0.4,0.2,0.3,1.0,3.4
B. Thomas,12.5,0.361,0.674,0.5,3.9,1.7,0.9,0.5,0.3,-0.7,1.0,1.4,1.2,3.4
P. Tucker,26.05,0.373,0.75,0.8,3.7,3.9,1.2,0.8,0.4,-0.8,0.4,0.5,1.3,3.4
K. Knox II,11.05,0.392,0.8,0.8,3.9,1.5,0.5,0.3,0.1,-0.4,0.4,0.5,1.3,3.4
W. Cauley-Stein,17.05,0.632,0.628,0.0,5.3,4.5,0.7,0.4,0.8,-0.5,0.9,1.5,2.2,3.4
L. Kornet,11.116666666666667,0.436,0.5,0.5,3.4,2.2,0.8,0.1,1.0,-0.2,0.1,0.2,1.4,3.3
D. Powell,16.633333333333333,0.619,0.782,0.1,5.9,4.0,1.1,0.6,0.5,-0.7,1.7,2.1,2.1,3.3
R. Langford,15.816666666666665,0.35600000000000004,0.75,0.3,3.1,1.9,0.7,0.3,0.3,-0.6,0.5,0.7,1.2,3.3
L. Samanic,9.416666666666666,0.448,0.552,0.4,3.7,2.1,0.5,0.2,0.2,-0.6,0.5,0.9,1.4,3.2
E. Ilyasova,8.516666666666667,0.389,1.0,1.1,3.8,1.7,0.2,0.6,0.2,-0.5,0.3,0.3,1.2,3.2
K. Tillie,10.1,0.333,0.818,0.6,3.2,1.3,0.4,0.3,0.4,-0.1,0.5,0.6,1.1,3.2
T. Waters,9.116666666666667,0.405,0.941,0.6,3.8,0.8,2.4,0.6,0.0,-1.0,0.6,0.7,1.3,3.2
J. Konchar,13.416666666666664,0.5,0.833,0.5,4.3,3.0,1.1,0.7,0.2,-0.4,0.6,0.7,1.6,3.2
I. Joe,9.333333333333334,0.361,0.75,1.0,3.7,0.9,0.5,0.3,0.1,-0.3,0.4,0.6,1.2,3.2
T. Cook,13.583333333333336,0.67,0.486,0.0,4.9,3.0,0.5,0.3,0.1,-0.7,0.5,1.1,2.2,3.2
K. Looney,19.066666666666666,0.5479999999999999,0.6459999999999999,0.1,4.1,5.3,2.0,0.3,0.4,-0.6,0.5,0.8,1.8,3.2
A. Varejao,7.2,0.25,0.556,0.0,2.6,4.0,0.6,0.0,0.4,-0.2,1.0,1.8,0.8,3.2
J. James,8.683333333333334,0.468,0.583,0.4,3.9,0.8,0.6,0.2,0.1,-0.4,0.6,1.0,1.4,3.1
N. Melli,12.55,0.326,0.76,0.5,3.0,2.7,1.0,0.3,0.1,-0.3,0.4,0.6,1.0,3.1
Q. Cook,6.7666666666666675,0.426,0.875,0.5,3.3,0.7,0.8,0.2,0.0,-0.3,0.3,0.3,1.3,3.0
O. Okongwu,11.966666666666667,0.644,0.632,0.0,4.6,3.3,0.4,0.5,0.7,-0.6,0.7,1.1,1.9,3.0
S. Mays,8.2,0.449,0.88,0.4,3.8,1.1,0.9,0.4,0.1,-0.3,0.7,0.8,1.3,3.0
K. Dunn,11.5,0.083,0.75,0.0,1.3,1.5,0.5,0.5,0.5,-0.8,0.8,1.0,0.3,3.0
R. Perry,8.0,0.41,0.769,0.2,3.0,2.8,0.5,0.2,0.2,-0.6,0.4,0.5,1.2,3.0
P. Reed,6.866666666666667,0.5379999999999999,0.5,0.0,3.4,2.3,0.5,0.4,0.5,-0.5,0.2,0.3,1.6,3.0
N. Knight,8.466666666666667,0.37,0.8,0.2,3.8,2.2,0.2,0.3,0.3,-0.5,1.3,1.7,1.1,3.0
P. Watson,10.883333333333333,0.463,0.625,1.1,4.1,1.7,0.6,0.2,0.1,-0.3,0.2,0.3,1.4,3.0
W. Gabriel,11.516666666666667,0.4,0.647,0.6,3.4,2.6,0.5,0.4,0.4,-0.7,0.5,0.8,1.1,2.9
M. Diakite,9.916666666666666,0.4,0.7859999999999999,0.1,3.1,2.4,0.6,0.5,0.4,-0.2,0.8,1.0,1.1,2.9
M. Howard,5.533333333333332,0.377,0.778,0.5,2.8,0.6,0.5,0.1,0.0,-0.5,0.2,0.2,1.1,2.9
J. Ramsey,7.216666666666668,0.395,1.0,0.4,3.1,0.8,0.5,0.3,0.1,-0.2,0.4,0.4,1.2,2.9
A. Roberson,12.6,0.14300000000000002,0.5,0.2,1.2,3.0,0.8,0.6,0.2,-0.4,0.2,0.4,0.4,2.8
K. Guy,7.566666666666666,0.33,0.8,0.4,2.8,1.1,1.0,0.2,0.0,-0.4,0.5,0.6,0.9,2.8
M. Thomas,7.2,0.394,0.857,0.6,3.1,1.0,0.4,0.1,0.0,-0.3,0.3,0.3,1.1,2.8
D. Hall,13.766666666666667,0.7140000000000001,0.6759999999999999,0.0,5.6,4.8,0.8,0.4,0.8,-0.6,1.8,2.6,1.9,2.7
R. Arcidiacono,10.266666666666667,0.419,0.65,0.6,3.1,1.5,1.3,0.2,0.0,-0.2,0.3,0.5,1.1,2.7
D. Miller,11.0,0.458,1.0,0.9,4.1,1.3,1.2,0.7,0.3,-0.4,0.7,0.7,1.2,2.7
H. Giles III,9.1,0.433,0.593,0.2,2.8,3.5,0.8,0.2,0.3,-0.5,0.4,0.7,1.1,2.6
K. Okpala,11.966666666666667,0.375,0.5329999999999999,0.3,2.5,1.8,0.5,0.3,0.3,-0.4,0.2,0.4,1.0,2.6
D. Jones,13.916666666666664,0.68,0.7240000000000001,0.0,4.7,3.1,0.7,0.3,0.7,-0.7,1.1,1.5,1.8,2.6
W. Iwundu,13.166666666666664,0.333,0.8390000000000001,0.1,2.4,2.2,0.4,0.4,0.1,-0.5,0.6,0.8,0.8,2.5
Z. Nnaji,9.45,0.481,0.8,0.6,3.2,1.5,0.2,0.2,0.1,-0.2,0.3,0.4,1.2,2.5
T. Forrest,10.0,0.451,1.0,0.2,2.9,1.5,1.5,0.3,0.1,-0.7,0.6,0.6,1.1,2.4
S. Merrill,7.7666666666666675,0.444,1.0,0.7,3.0,1.0,0.7,0.3,0.0,-0.3,0.1,0.1,1.1,2.4
A. McKinnie,6.616666666666667,0.516,0.556,0.4,3.1,1.4,0.2,0.2,0.0,-0.1,0.3,0.5,1.2,2.4
T. Antetokounmpo,9.666666666666666,0.489,0.51,0.1,2.9,2.2,0.8,0.4,0.2,-0.8,0.4,0.9,1.2,2.4
F. Ntilikina,9.7,0.3670000000000001,0.444,0.7,2.7,0.9,0.6,0.5,0.1,-0.3,0.2,0.5,0.9,2.4
A. Gill,8.366666666666667,0.5,0.813,0.3,3.1,2.0,0.4,0.4,0.2,-0.3,0.5,0.6,1.2,2.3
T. Maker,9.5,0.556,0.909,0.0,3.8,2.3,0.5,0.3,0.5,-0.4,1.3,1.4,1.3,2.3
J. Lecque,3.0,0.111,1.0,0.0,1.3,1.3,0.5,0.0,0.0,-0.0,0.8,0.8,0.3,2.3
M. Kabengele,7.2,0.371,0.8,0.3,2.4,1.5,0.4,0.2,0.3,-0.4,0.4,0.5,0.8,2.3
S. Harrison,9.733333333333333,0.333,0.818,0.1,2.1,1.4,0.7,0.5,0.1,-0.3,0.5,0.6,0.8,2.3
A. Coffey,8.916666666666666,0.4370000000000001,0.711,0.5,3.2,1.0,0.5,0.2,0.0,-0.3,0.6,0.9,1.0,2.3
M. Leonard,10.0,0.429,0.5,1.0,3.3,2.3,0.7,0.0,0.0,-0.7,0.3,0.7,1.0,2.3
S. Thornwell,10.316666666666666,0.326,0.5,0.3,2.0,0.9,1.0,0.6,0.1,-0.3,0.2,0.4,0.7,2.2
K. Bates-Diop,8.166666666666666,0.448,0.667,0.2,2.6,1.6,0.4,0.4,0.2,-0.2,0.5,0.7,1.0,2.2
C. Elleby,6.366666666666666,0.379,0.733,0.2,2.3,1.1,0.3,0.2,0.1,-0.2,0.4,0.5,0.8,2.2
I. Shumpert,5.5,0.25,,0.0,1.0,0.5,0.0,0.5,0.0,-0.5,0.0,0.0,0.5,2.0
R. Spalding,9.5,0.5,0.0,0.0,2.0,2.0,0.0,0.0,1.0,-1.5,0.0,1.0,1.0,2.0
N. Hinton,4.416666666666667,0.35700000000000004,0.7,0.2,2.0,0.4,0.4,0.3,0.1,-0.2,0.3,0.5,0.7,2.0
D. Sirvydis,6.6,0.35,0.5,0.5,2.1,1.5,0.3,0.1,0.0,-0.3,0.2,0.3,0.7,2.0
U. Haslem,3.0,1.0,,0.0,4.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,2.0,2.0
I. Bonga,10.7,0.37,0.625,0.3,2.0,1.7,0.6,0.3,0.2,-0.6,0.1,0.2,0.8,2.0
V. Carey Jr.,6.05,0.5,0.818,0.1,2.4,1.4,0.1,0.1,0.3,-0.3,0.5,0.6,0.9,1.9
E. Davis,12.95,0.4320000000000001,0.833,0.0,2.1,5.0,0.9,0.6,0.6,-0.3,0.4,0.5,0.8,1.9
J. Brantley,4.95,0.481,1.0,0.4,2.3,1.0,0.5,0.3,0.1,-0.3,0.1,0.1,0.9,1.9
J. Smith,5.7,0.44,0.7140000000000001,0.1,2.0,1.4,0.1,0.0,0.2,-0.3,0.2,0.3,0.8,1.9
C. Stanley,3.8666666666666663,0.302,0.778,0.1,1.5,0.8,0.0,0.0,0.1,-0.0,0.3,0.4,0.5,1.8
S. McDermott,8.766666666666667,0.394,1.0,0.3,2.2,1.1,0.2,0.1,0.2,-0.2,0.4,0.4,0.7,1.8
V. Cancar,6.866666666666667,0.458,0.769,0.2,2.1,1.2,0.3,0.3,0.0,-0.3,0.2,0.3,0.8,1.8
Q. Weatherspoon,6.0,0.457,0.813,0.1,2.3,0.6,0.4,0.4,0.1,-0.5,0.7,0.8,0.8,1.8
M. Oni,9.6,0.354,0.833,0.6,1.9,1.6,0.5,0.2,0.1,-0.3,0.1,0.1,0.6,1.8
A. Smailagic,5.5166666666666675,0.407,0.333,0.3,1.9,1.1,0.3,0.2,0.3,-0.3,0.1,0.4,0.7,1.8
B. Bol,5.016666666666667,0.431,0.667,0.3,2.2,0.8,0.2,0.1,0.3,-0.4,0.3,0.5,0.8,1.8
D. Oturu,5.366666666666666,0.423,0.75,0.0,1.8,1.6,0.3,0.1,0.2,-0.3,0.3,0.4,0.7,1.7
E. Hughes,3.6,0.333,0.75,0.4,1.7,0.5,0.3,0.1,0.1,-0.3,0.2,0.2,0.6,1.7
G. Riller,3.7,0.667,,0.3,2.6,0.1,0.4,0.1,0.0,-0.1,0.0,0.0,1.1,1.7
R. Hollis-Jefferson,9.816666666666666,0.5,0.563,0.0,2.5,2.4,1.2,0.2,0.4,-0.2,0.8,1.5,0.8,1.6
A. Brimah,6.0,0.625,1.0,0.0,2.6,1.6,0.2,0.0,1.0,-0.8,0.6,0.6,1.0,1.6
T. Fall,7.5,0.7240000000000001,0.333,0.0,2.6,2.9,0.2,0.1,1.1,-0.3,0.3,0.8,1.2,1.6
D. Cacok,4.9,0.586,0.455,0.0,2.0,1.6,0.1,0.3,0.2,-0.3,0.3,0.6,0.9,1.5
C. Winston,4.45,0.424,0.833,0.4,1.9,0.4,0.5,0.1,0.0,-0.2,0.2,0.3,0.6,1.5
A. Tolliver,8.9,0.235,0.833,0.4,1.5,0.9,0.2,0.3,0.2,-0.3,0.5,0.5,0.4,1.5
T. Terry,5.166666666666667,0.313,0.333,0.0,1.0,0.5,0.5,0.5,0.0,-0.2,0.1,0.3,0.5,1.5
R. Woodard II,3.533333333333333,0.4,0.375,0.1,1.5,1.2,0.2,0.0,0.2,-0.1,0.2,0.6,0.6,1.5
J. Porter,4.9,0.5329999999999999,0.6,0.3,2.0,1.3,0.1,0.3,0.1,-0.6,0.3,0.5,0.7,1.4
T. Leaf,4.85,0.5,1.0,0.0,1.7,0.7,0.1,0.3,0.1,-0.3,0.3,0.3,0.7,1.4
A. Toupane,7.616666666666667,0.364,0.7140000000000001,0.1,1.8,0.8,0.5,0.3,0.4,-0.0,0.6,0.9,0.5,1.4
A. Mokoka,4.0,0.368,0.0,0.1,1.1,0.4,0.4,0.1,0.1,-0.4,0.0,0.1,0.5,1.4
J. Nunnally,5.216666666666667,0.385,0.5,0.4,1.7,1.0,0.3,0.0,0.0,-0.2,0.1,0.2,0.6,1.4
R. Tucker,4.783333333333333,0.5,0.737,0.1,2.4,0.8,0.4,0.1,0.0,-0.3,1.0,1.4,0.6,1.3
G. Payton II,3.9,0.769,0.75,0.2,2.5,1.1,0.1,0.6,0.1,-0.1,0.3,0.4,1.0,1.3
K. Mane,8.9,0.231,0.8,0.1,1.1,1.4,0.4,0.0,0.2,-0.3,0.4,0.5,0.3,1.3
B. Fernando,6.866666666666667,0.409,0.682,0.0,1.5,2.4,0.3,0.1,0.1,-0.6,0.5,0.7,0.5,1.3
N. Pelle,6.45,0.5329999999999999,0.667,0.0,1.5,1.5,0.2,0.1,0.7,-0.2,0.3,0.5,0.6,1.2
T. Bey,3.883333333333333,0.318,0.6,0.1,1.0,1.1,0.2,0.0,0.1,-0.2,0.2,0.3,0.4,1.2
K. Blevins,4.35,0.25,,0.1,0.7,0.6,0.2,0.1,0.0,-0.3,0.0,0.0,0.3,1.2
C. Silva,6.116666666666666,0.625,0.733,0.1,2.1,1.8,0.4,0.1,0.4,-0.7,0.7,1.0,0.7,1.1
M. Fitts,3.6666666666666665,0.333,,0.3,1.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.3,1.0
J. Morgan,5.1,0.467,0.429,0.1,1.2,1.0,0.3,0.1,0.0,-0.1,0.1,0.2,0.5,1.0
A. Pasecniks,6.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,-5.0,0.0,0.0,0.0,1.0
N. Darling,3.7,0.28600000000000003,1.0,0.3,1.3,0.1,0.1,0.0,0.1,-0.1,0.4,0.4,0.3,1.0
J. Dudley,6.566666666666666,0.222,,0.2,0.5,1.8,0.4,0.1,0.1,-0.2,0.0,0.0,0.2,0.8
T. Alexander,3.0,0.25,0.5,0.1,0.6,0.7,0.4,0.0,0.1,-0.2,0.1,0.1,0.2,0.8
N. Vonleh,2.75,0.0,,0.0,0.0,0.3,0.3,0.0,0.0,-0.5,0.0,0.0,0.0,0.8
B. Bowen II,2.5,0.25,1.0,0.0,0.5,0.5,0.0,0.0,0.0,-0.0,0.2,0.2,0.2,0.7
C. Felicio,4.666666666666667,0.5379999999999999,0.563,0.0,1.3,1.4,0.5,0.2,0.0,-0.2,0.5,0.9,0.4,0.7
K. Antetokounmpo,3.716666666666667,0.3,0.462,0.0,0.8,1.3,0.1,0.1,0.3,-0.7,0.4,0.9,0.2,0.7
U. Azubuike,4.0,0.444,0.8,0.0,1.1,0.9,0.0,0.1,0.3,-0.2,0.5,0.7,0.3,0.6
M. Bolden,4.816666666666666,0.333,0.625,0.0,1.2,1.0,0.0,0.3,0.3,-0.3,0.8,1.3,0.2,0.5
J. Harper,1.8666666666666667,0.0,0.75,0.0,0.4,0.3,0.1,0.0,0.0,-0.4,0.4,0.5,0.0,0.5
T. Ferguson,3.85,0.14300000000000002,,0.0,0.2,0.1,0.2,0.1,0.0,-0.3,0.0,0.0,0.1,0.5
T. Pinson,2.05,0.111,,0.0,0.1,0.3,0.1,0.0,0.0,-0.1,0.0,0.0,0.1,0.5
N. Richards,3.2666666666666666,0.444,0.636,0.0,0.8,0.6,0.1,0.0,0.0,-0.2,0.4,0.6,0.2,0.5
P. McCaw,6.6,1.0,1.0,0.0,1.0,0.6,0.8,0.4,0.0,-0.0,0.6,0.6,0.2,0.2
A. Hagans,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0
A. Lawson,,,,,,,,,,,,,,
H. Gravett,,,,,,,,,,,,,,
T. Watford,,,,,,,,,,,,,,
J. Ayayi,,,,,,,,,,,,,,
A. Reaves,,,,,,,,,,,,,,
D. Washington Jr.,,,,,,,,,,,,,,
T. Taylor,,,,,,,,,,,,,,
A. Henry,,,,,,,,,,,,,,
M. Hurt,,,,,,,,,,,,,,
C. Smith,,,,,,,,,,,,,,
J. Alvarado,,,,,,,,,,,,,,
J. Landale,,,,,,,,,,,,,,
M. Wright IV,,,,,,,,,,,,,,
L. Garza,,,,,,,,,,,,,,
G. Kalaitzakis,,,,,,,,,,,,,,
G. Brown,,,,,,,,,,,,,,
I. Todd,,,,,,,,,,,,,,
J. Robinson-Earl,,,,,,,,,,,,,,
J. Preston,,,,,,,,,,,,,,
R. Jokubaitis,,,,,,,,,,,,,,
H. Jones,,,,,,,,,,,,,,
M. McBride,,,,,,,,,,,,,,
J. Thor,,,,,,,,,,,,,,
A. Dosunmu,,,,,,,,,,,,,,
N. Queta,,,,,,,,,,,,,,
J. Wieskamp,,,,,,,,,,,,,,
I. Livers,,,,,,,,,,,,,,
K. Edwards,,,,,,,,,,,,,,
R. Gray,,,,,,,,,,,,,,
J. Begarin,,,,,,,,,,,,,,
D. Banton,,,,,,,,,,,,,,
D. Johnson,,,,,,,,,,,,,,
S. Cooper,,,,,,,,,,,,,,
M. Zegarowski,,,,,,,,,,,,,,
F. Petrusev,,,,,,,,,,,,,,
B. Boston Jr.,,,,,,,,,,,,,,
C. Bassey,,,,,,,,,,,,,,
S. Mamukelashvili,,,,,,,,,,,,,,
S. Lewis,,,,,,,,,,,,,,
B. Koprivica,,,,,,,,,,,,,,
J. Sims,,,,,,,,,,,,,,
J. Echenique,,,,,,,,,,,,,,
M. McClung,,,,,,,,,,,,,,
J. Goodwin,,,,,,,,,,,,,,
M. Ryan,,,,,,,,,,,,,,
J. Pickett,,,,,,,,,,,,,,
M. Lewis,,,,,,,,,,,,,,
I. Miller,,,,,,,,,,,,,,
R. Edwards,,,,,,,,,,,,,,
D. Alston Jr.,,,,,,,,,,,,,,
J. Schakel,,,,,,,,,,,,,,
M. Coleman III,,,,,,,,,,,,,,
D. Steward,,,,,,,,,,,,,,
D. Smith,,,,,,,,,,,,,,
J. Smart,,,,,,,,,,,,,,
M. Potter,,,,,,,,,,,,,,
M. Ballock,,,,,,,,,,,,,,
J. Tilmon,,,,,,,,,,,,,,
