,MPG,FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FTM,FTA,FGM,FGA
T. Horton-Tucker,20.016666666666666,0.458,0.775,0.6,9.0,2.6,2.8,1.0,0.3,-1.6,1.5,2.0,3.4,7.5
L. Shamet,22.88333333333333,0.408,0.846,2.1,9.3,1.8,1.6,0.5,0.2,-0.8,1.1,1.3,3.0,7.5
D. Cousins,17.366666666666667,0.426,0.728,1.1,8.9,6.4,1.9,0.8,0.6,-1.6,1.4,2.0,3.2,7.4
P. Williams,27.91666666666667,0.483,0.728,0.8,9.2,4.6,1.4,0.9,0.6,-1.4,1.3,1.8,3.6,7.4
D. Bane,22.35,0.469,0.816,1.7,9.2,3.1,1.7,0.6,0.2,-0.9,0.6,0.7,3.4,7.3
F. Jackson,18.45,0.457,0.813,1.5,9.8,2.2,0.9,0.4,0.0,-0.9,1.5,1.9,3.4,7.3
J. Hart,28.73333333333333,0.439,0.775,1.3,9.2,8.0,2.3,0.8,0.3,-1.0,1.5,1.9,3.2,7.3
R. Rubio,26.0,0.388,0.867,1.0,8.6,3.3,6.4,1.4,0.1,-1.6,1.9,2.2,2.8,7.3
W. Ellington,22.0,0.441,0.8,2.5,9.6,1.8,1.5,0.4,0.2,-0.7,0.6,0.8,3.2,7.3
D. Nwaba,22.566666666666666,0.486,0.691,0.6,9.2,3.9,1.0,1.0,0.7,-0.6,1.6,2.3,3.5,7.3
R. Covington,32.0,0.401,0.8059999999999999,1.9,8.5,6.7,1.7,1.4,1.2,-0.9,0.7,0.9,2.9,7.3
M. Flynn,19.716666666666665,0.374,0.804,1.1,7.5,2.5,2.9,0.8,0.1,-0.9,1.0,1.2,2.7,7.2
O. Brissett,24.8,0.483,0.769,1.6,10.9,5.5,0.9,0.9,1.0,-0.5,2.4,3.1,3.5,7.2
C. Okeke,25.15,0.417,0.75,1.1,7.8,4.0,2.2,1.1,0.5,-0.8,0.7,0.9,3.0,7.2
P. Millsap,20.816666666666666,0.476,0.7240000000000001,0.9,9.0,4.7,1.8,0.9,0.6,-0.9,1.3,1.8,3.4,7.2
D. Theis,24.566666666666666,0.541,0.6729999999999999,0.8,9.6,5.5,1.7,0.6,0.9,-1.0,1.1,1.7,3.9,7.2
K. Martin Jr.,23.68333333333333,0.509,0.7140000000000001,0.8,9.3,5.4,1.1,0.7,0.9,-0.8,1.3,1.9,3.6,7.1
P. Dozier,21.75,0.417,0.636,0.9,7.7,3.6,1.8,0.6,0.4,-0.9,0.8,1.3,3.0,7.1
M. James,18.066666666666666,0.37,0.778,0.8,7.7,2.5,4.2,0.5,0.1,-1.5,1.6,2.1,2.6,7.1
T. McConnell,26.0,0.5589999999999999,0.688,0.2,8.6,3.7,6.6,1.9,0.3,-2.0,0.5,0.7,4.0,7.1
M. Chriss,13.0,0.35700000000000004,0.5,0.5,6.5,6.5,1.0,0.0,1.0,-1.0,1.0,2.0,2.5,7.0
I. Roby,23.4,0.483,0.7440000000000001,0.5,8.7,5.6,1.8,0.9,0.6,-1.9,1.4,1.9,3.4,7.0
R. Neto,21.91666666666667,0.468,0.882,1.0,8.7,2.4,2.3,1.1,0.1,-0.8,1.2,1.3,3.3,7.0
T. Maxey,15.4,0.462,0.871,0.5,8.0,1.7,2.0,0.4,0.2,-0.7,1.0,1.1,3.2,7.0
B. McLemore,17.033333333333335,0.37,0.736,1.8,7.7,1.9,0.7,0.4,0.2,-0.8,0.7,1.0,2.5,6.9
M. Plumlee,26.716666666666665,0.614,0.669,0.0,10.4,9.3,3.6,0.8,0.9,-1.9,2.0,3.0,4.2,6.8
C. Zeller,20.916666666666668,0.5589999999999999,0.7140000000000001,0.1,9.4,6.8,1.8,0.6,0.4,-1.1,1.8,2.5,3.8,6.8
G. Temple,27.25,0.415,0.8,1.2,7.6,2.9,2.2,0.8,0.5,-1.0,0.7,0.9,2.8,6.8
D. Saric,17.35,0.447,0.848,0.9,8.7,3.8,1.3,0.6,0.1,-1.1,1.7,2.0,3.1,6.8
I. Smith,20.916666666666668,0.434,0.5760000000000001,0.4,6.7,3.4,3.9,0.7,0.3,-0.9,0.4,0.8,2.9,6.8
C. Joseph,22.9,0.469,0.818,0.7,8.2,2.5,3.4,1.0,0.3,-1.3,1.1,1.4,3.2,6.8
A. Rivers,23.38333333333333,0.424,0.71,1.5,7.9,2.3,2.3,0.8,0.1,-1.0,0.6,0.9,2.9,6.8
G. Deck,21.2,0.478,0.818,0.2,8.4,4.0,2.4,0.8,0.0,-0.6,1.8,2.2,3.2,6.7
